segment_dimension,segment_value,n,mean_cate,std_cate,mean_ci_lower,mean_ci_upper,exposed_rate,raw_conv_rate
DEVICE_COUNTRY,UNKNOWN,119210,0.03594707746163905,0.01744331051827067,-0.0007405818765437515,0.07263473679982184,0.09609932052680144,0.037631071218857476
DEVICE_COUNTRY,OTHER,262,0.030886657923235247,0.00926546653448801,0.00035850829816295353,0.06141480754830753,0.030534351145038167,0.0
DEVICE_COUNTRY,US,630528,0.03023186600393679,0.010930493136886906,-0.00131911846061333,0.061782850468486895,0.12840191077953714,0.03616651441331709
ENGAGEMENT_TIER,No_App_Activity,55027,0.048806613299361125,0.01681552487250044,0.0077052429442260205,0.08990798365449622,0.11005506387773276,0.04577752739564214
ENGAGEMENT_TIER,Champion,20012,0.03154490585351885,0.010995377631843843,-0.0017169935162109663,0.06480680522324866,0.10623625824505296,0.03447931241255247
ENGAGEMENT_TIER,Regular,113520,0.030443150396985356,0.011030119636160095,-0.002028699581871655,0.06291500037584236,0.10051973220577871,0.02905214940098661
ENGAGEMENT_TIER,Light,561441,0.029535635654107547,0.01071284824299725,-0.0019223211588995188,0.0609935924671146,0.12972333691340676,0.03701724669199435
HIST_ACTIVE_DAYS_7D_BUCKET,0_days,98538,0.03766209652672685,0.01805288969999729,0.0005072062518395728,0.07481698680161411,0.10777568044815199,0.03982220057236802
HIST_ACTIVE_DAYS_7D_BUCKET,4-7_days,419287,0.031699426069563365,0.010904913601378855,-0.00023818302976806266,0.06363703516889478,0.12539620832508522,0.036089838225368306
HIST_ACTIVE_DAYS_7D_BUCKET,1_day,72836,0.027632618614808094,0.011507875795862314,-0.004210119684592111,0.0594753569142083,0.11608270635400077,0.035559338788511176
HIST_ACTIVE_DAYS_7D_BUCKET,2-3_days,159339,0.027240205353995878,0.00990721272076246,-0.0035358306839927377,0.05801624139198448,0.13036984040316557,0.03542133438768914
HIST_IMPRESSIONS_7D_QUARTILE,Q4_highest,187500,0.0351833945581537,0.011953248433172727,0.0017256950191392388,0.06864109409716816,0.11743466666666667,0.03552
HIST_IMPRESSIONS_7D_QUARTILE,Q1_lowest,187500,0.03225329083172716,0.016179243562134644,-0.0022359968615598604,0.06674257852501417,0.11093333333333333,0.037136
HIST_IMPRESSIONS_7D_QUARTILE,Q3,187500,0.02999744980128315,0.009068910482849435,-0.0008729941645925413,0.06086789376715884,0.13549866666666666,0.037221333333333335
HIST_IMPRESSIONS_7D_QUARTILE,Q2,187500,0.027127899029146047,0.009535534694207384,-0.00352300778531891,0.057778805843610996,0.12906666666666666,0.03566933333333333
STV_YEAR_BUCKET,2020-2021,366450,0.03318951690945592,0.01385735959694585,-0.0006451129123987165,0.06702414673131056,0.10730522581525447,0.03622049392823032
STV_YEAR_BUCKET,2016-2019,149634,0.030424641154571115,0.011230858687675961,-0.0012669179355214305,0.06211620024466365,0.1582127056684978,0.037351136773727894
STV_YEAR_BUCKET,2022-2023,80638,0.03035482440166077,0.009946315118270013,-0.0009380402584990981,0.06164768906182063,0.10048612316773729,0.036360028770554824
STV_YEAR_BUCKET,2024-2026,153278,0.027354022496469142,0.00949545252208042,-0.0027291238506836598,0.05743716884362194,0.13913281749500908,0.03585641775075353
