dimension,segment_value,n,exposed_rate,aipw_ate_pp,aipw_se_pp,aipw_ci_95_lo_pp,aipw_ci_95_hi_pp,aipw_p_value,naive_lift_pp,control_conv_rate_pct,rel_lift_pct_vs_control,low_confidence,cate_forest_mean_pp,cate_forest_n
DEVICE_COUNTRY,AR,1,0.0,21.516930178385177,,,,,,0.0,,True,,
DEVICE_COUNTRY,BE,1,0.0,9.606109541369957,,,,,,0.0,,True,,
DEVICE_COUNTRY,PL,1,0.0,8.75131107451365,,,,,,0.0,,True,,
DEVICE_COUNTRY,KR,5,0.0,7.607241802874737,1.8435771736717974,3.9938305424780136,11.22065306327146,3.685687008503358e-05,,0.0,,True,,
DEVICE_COUNTRY,GB,6,0.0,7.4949796288441854,1.3418981603074192,4.864859234641644,10.125100023046727,2.3322127784553004e-08,,0.0,,True,,
DEVICE_COUNTRY,DO,1,0.0,6.140460360392621,,,,,,0.0,,True,,
DEVICE_COUNTRY,BR,1,0.0,5.933627103626906,,,,,,0.0,,True,,
DEVICE_COUNTRY,DE,21,0.0,5.271818663832902,0.6743749830508328,3.95004369705327,6.593593630612535,5.329070518200751e-15,,0.0,,True,,
DEVICE_COUNTRY,TR,1,0.0,4.029783707698882,,,,,,0.0,,True,,
DEVICE_COUNTRY,ES,2,0.0,3.8341212640258844,0.14037805915032875,3.55898026809124,4.109262259960529,0.0,,0.0,,True,,
DEVICE_COUNTRY,UNKNOWN,948847,0.09757210593488728,3.763869216880132,0.0918849831242109,3.5837746499566787,3.9439637838035857,0.0,4.340408803210023,3.331791756300028,112.9683213172941,False,,
DEVICE_COUNTRY,NL,1,0.0,3.6458116001077983,,,,,,0.0,,True,,
DEVICE_COUNTRY,CA,794,0.031486146095717885,3.3316399940832166,0.6814999276987622,1.9959001357936428,4.6673798523727905,1.0151062468377603e-06,0.0,0.0,,True,,
DEVICE_COUNTRY,US,5013201,0.12812791667439627,3.0410188027669545,0.03430840350124017,2.973774331904524,3.108263273629385,0.0,3.3341821388842376,3.1962515471748185,95.14328762562273,False,,
DEVICE_COUNTRY,CU,2,0.0,2.158885668617239,0.08935994256565291,1.983740181188559,2.334031156045919,0.0,,0.0,,True,,
DEVICE_COUNTRY,MX,1166,0.029159519725557463,2.133933248826526,0.535588903989248,1.0841789970075997,3.1836875006454517,6.768657707190151e-05,0.0,0.0,,True,,
DEVICE_COUNTRY,IT,15,0.06666666666666667,-0.2918349407120434,4.968877920330165,-10.030835664559167,9.447165783135079,0.9531651217368435,0.0,0.0,,True,,
DEVICE_COUNTRY,PR,11,0.18181818181818182,-21.450850324550935,17.438973812758128,-55.63123899755686,12.729538348455,0.21867751042464434,0.0,0.0,,True,,
ENGAGEMENT_TIER,No_App_Activity,436475,0.11024457299959906,5.154482392096684,0.14226752608131582,4.875638040977305,5.433326743216062,0.0,5.884213524143093,3.889472545808485,132.52394332109233,False,4.880661329936112,55027.0
ENGAGEMENT_TIER,Champion,160386,0.10530844338034492,3.3467765559976894,0.2157048404702015,2.9239950686760947,3.769558043319284,0.0,3.8228483429916684,3.22866142610247,103.65833124961027,False,3.154490585351885,20012.0
