,0
ACR_APP_USED_APP_CNT,1.6708418623144834
AD_COUNT,0.8847481581724166
AD_CATEGORY_COUNT,-0.7556062426581038
TOTAL_ACTIVE_DAYS,0.5601718272962897
ACR_APP_INFORMATION,-0.5157450220231791
G_USER_IMPRESSION_21D,0.49147956294356737
ACR_APP_VIDEOS,-0.48200410680081995
ACR_APP_AVG_USING_TIME,-0.3888110842974542
LIGHT_APP_COUNT,0.37677439813568114
ACR_APP_LIFESTYLE,-0.35002532639828
TOTAL_APP_TIME_7D,0.34747544436617694
TOTAL_MINUTES,-0.33863518939586285
AVG_DAILY_APP_OPENS,0.3274184093054478
TOTAL_TV_USAGE_TIME_7D,-0.3194812375489422
G_USER_HI2A,0.27587670460483976
NUM_UNIQUE_APPS,0.23714063903978064
HIST_CAMPAIGNS_7D,0.21867728950872978
DAYS_SINCE_LAST_ACTIVE_MISSING,0.20119571035150038
RATIO_TIME_ENGLISH,-0.19998555818937214
G_USER_VIDEO_START_SUM,-0.1956099521343331
TAG_TYPE,-0.18449838455768292
APP_COUNT,-0.17819959019667406
ACTIVE_APP_COUNT,-0.1695076270898993
HIST_LOAD_EVENTS_7D,0.16823772540305132
AVG_DAILY_IMPRESSIONS,-0.14677252305618008
NETSPEED_mobile,-0.13351744261763324
DMA_CODE,0.13315991375761124
OPERATING_SYSTEM_TIZEN_TV_6,0.127606075096104
REGULAR_APP_COUNT,0.1239400884337902
HIST_MOBILE_CAMPAIGN_COUNT_7D,-0.1209957255769673
HIST_IMPRESSIONS_7D,0.11389280048463374
AVG_DAILY_HOURS_WATCHED,-0.11245105728229988
HIST_TV_CAMPAIGN_COUNT_7D,0.10321258607077786
HIST_TRACKER_EVENTS_7D,-0.09455192093127732
TOTAL_AD_TIME_7D,-0.09128643243887817
NETSPEED_satellite,-0.09082710383220115
G_USER_VCR,0.08964503356791809
TOTAL_PROG_TIME_7D,-0.08952073608044898
RATIO_TIME_CHINESE,-0.07649077597759175
STV_YEAR,-0.07627736496876084
G_USER_DISCREPANCY_PERCENT,-0.07611159788358422
HIST_TV_CAMPAIGN_IMP_7D,-0.07232504339924879
RATIO_TIME_AVOD_NULL,-0.06960536985610735
RATIO_TIME_GERMAN,-0.061627823415503706
AVG_SESSION_TIME,0.059797822115980524
DAYS_SINCE_LAST_ACTIVE,0.059333591490486025
NETSPEED_cable,0.05824834664060155
NETSPEED_broadband,0.057455319282169834
RATIO_TIME_INFORMATION,-0.05457821442057974
USER_HI2A,0.05193204645338184
RATIO_TIME_SPANISH,-0.04459925286610158
AVG_AD_LENGTH,0.04025431275917594
HIST_ACTIVE_DAYS_7D,-0.039618747706564775
NETSPEED_wireless,-0.03788339749144779
HIST_MOBILE_CAMPAIGN_RATIO,-0.03748318322881525
HIST_WEB_CAMPAIGN_RATIO,-0.03343525904484673
RATIO_TIME_GAME,-0.033339692825681375
TOTAL_VOD_TIME_7D,-0.029015909077215702
HIST_WEB_CAMPAIGN_IMP_7D,-0.020699192664622848
TOTAL_HDMI_TIME_7D,-0.018640066282917284
ACR_APP_EDUCATION,-0.01674418094699637
HIST_TV_CAMPAIGN_RATIO,0.014462933492824046
ACR_APP_SPORTS,0.014450643852323431
RATIO_TIME_SPORTS,0.014444064435882684
RATIO_TIME_VIDEOS,-0.013912590408515745
AT_RISK_APP_COUNT,0.013741812693532762
HIST_MOBILE_CAMPAIGN_IMP_7D,-0.01333909815592211
RATIO_TIME_LIFESTYLE,0.012825111829826697
HIST_CLICK_EVENTS_7D,0.010758810146746995
RATIO_TIME_POLISH,0.009453635008613577
RATIO_TIME_FRENCH,0.008490677627342484
DORMANT_APP_COUNT,-0.007230880121714406
NETSPEED_xdsl,0.00687533444952879
CHAMPION_APP_COUNT,0.006141197698380753
HIST_WEB_CAMPAIGN_COUNT_7D,-0.005238805105248598
G_USER_MEDIA_PRICE,0.004397616983912668
SLEEPING_APP_COUNT,0.0043585981950411395
RATIO_TIME_EDUCATION,-0.004287554322851684
HIST_CLICK_RATE,0.0027460135226919564
CHANNEL_TILE_RATIO,0.00035231500927248444
DEVICE_COUNTRY_US,0.00035231500927248444
SAMSUNG_AFFINITY_direct,0.00035231500927248444
